รหัสนิสิต,คำนำหน้า,ชื่อ,นามสกุล,อีเมล,เบอร์โทร,คณะ,สาขา,ปีที่เข้า
6710450001,นาย,ศุภกร,ธนาวัฒน์,supakorn.t@ku.ac.th,081-111-2233,วิศวกรรมศาสตร์,คอมพิวเตอร์,2567
6710450002,นางสาว,ชลธิชา,ภูมิพันธ์,chonticha.p@ku.ac.th,082-222-3344,วิศวกรรมศาสตร์,คอมพิวเตอร์,2567
6710450003,นาย,พีรพัฒน์,สิทธิโชค,peeraphat.s@ku.ac.th,083-333-4455,วิศวกรรมศาสตร์,คอมพิวเตอร์,2567
6710450004,นางสาว,กัญญาณัฐ,ประดิษฐ์ผล,kanyanat.p@ku.ac.th,084-444-5566,วิศวกรรมศาสตร์,คอมพิวเตอร์,2567
6710450005,นาย,ธีรภัทร,กุลวานิช,teerapat.k@ku.ac.th,085-555-6677,วิศวกรรมศาสตร์,คอมพิวเตอร์,2567
6710450006,นางสาว,ปวีณา,สุขสมบัติ,paweena.s@ku.ac.th,086-666-7788,วิศวกรรมศาสตร์,คอมพิวเตอร์,2567
6710450007,นาย,อนุวัฒน์,เกษมสันต์,anuwat.k@ku.ac.th,087-777-8899,วิศวกรรมศาสตร์,คอมพิวเตอร์,2567
6710450008,นางสาว,ธัญญารัตน์,บุญยะรัตน์,thanyarat.b@ku.ac.th,088-888-9900,วิศวกรรมศาสตร์,คอมพิวเตอร์,2567
6710450009,นาย,รัชชานนท์,วิเศษศรี,ratchanon.w@ku.ac.th,089-999-0011,วิศวกรรมศาสตร์,คอมพิวเตอร์,2567
6710450010,นางสาว,มนัสนันท์,ทองคำ,manatsanan.t@ku.ac.th,090-000-1122,วิศวกรรมศาสตร์,คอมพิวเตอร์,2567
